0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@11.9.0
2 info using node@v24.14.0
3 silly config load:file:C:\Program Files\nodejs\node_modules\npm\npmrc
4 silly config load:file:D:\aitiku\frontend\.npmrc
5 silly config load:file:C:\Users\Administrator\.npmrc
6 silly config load:file:C:\Users\Administrator\AppData\Roaming\npm\etc\npmrc
7 verbose title npm ci
8 verbose argv "ci" "--no-audit" "--no-fund"
9 verbose logfile logs-max:10 dir:D:\aitiku\.npm-cache\_logs\2026-03-28T02_07_05_318Z-
10 verbose logfile D:\aitiku\.npm-cache\_logs\2026-03-28T02_07_05_318Z-debug-0.log
11 silly logfile done cleaning log files
12 silly packumentCache heap:4496293888 maxSize:1124073472 maxEntrySize:562036736
13 silly idealTree buildDeps
14 silly reify moves {}
15 http cache zrender@https://registry.npmjs.org/zrender/-/zrender-5.6.1.tgz 1ms (cache hit)
16 http cache yargs-parser@https://registry.npmjs.org/yargs-parser/-/yargs-parser-18.1.3.tgz 0ms (cache hit)
17 http cache y18n@https://registry.npmjs.org/y18n/-/y18n-4.0.3.tgz 0ms (cache hit)
18 http cache wrap-ansi@https://registry.npmjs.org/wrap-ansi/-/wrap-ansi-6.2.0.tgz 0ms (cache hit)
19 http cache yargs@https://registry.npmjs.org/yargs/-/yargs-15.4.1.tgz 0ms (cache hit)
20 http cache why-is-node-running@https://registry.npmjs.org/why-is-node-running/-/why-is-node-running-2.3.0.tgz 0ms (cache hit)
21 http cache which-module@https://registry.npmjs.org/which-module/-/which-module-2.0.1.tgz 0ms (cache hit)
22 http cache webpack-virtual-modules@https://registry.npmjs.org/webpack-virtual-modules/-/webpack-virtual-modules-0.6.2.tgz 0ms (cache hit)
23 http cache vue-router@https://registry.npmjs.org/vue-router/-/vue-router-4.6.4.tgz 0ms (cache hit)
24 http cache vue@https://registry.npmjs.org/vue/-/vue-3.5.30.tgz 0ms (cache hit)
25 http cache vitest@https://registry.npmjs.org/vitest/-/vitest-4.1.0.tgz 0ms (cache hit)
26 http cache vite@https://registry.npmjs.org/vite/-/vite-8.0.0.tgz 0ms (cache hit)
27 http cache unplugin-vue-components@https://registry.npmjs.org/unplugin-vue-components/-/unplugin-vue-components-31.0.0.tgz 0ms (cache hit)
28 http cache unplugin-utils@https://registry.npmjs.org/unplugin-utils/-/unplugin-utils-0.3.1.tgz 0ms (cache hit)
29 http cache ufo@https://registry.npmjs.org/ufo/-/ufo-1.6.3.tgz 0ms (cache hit)
30 http cache unplugin@https://registry.npmjs.org/unplugin/-/unplugin-2.3.11.tgz 0ms (cache hit)
31 http cache tinyrainbow@https://registry.npmjs.org/tinyrainbow/-/tinyrainbow-3.1.0.tgz 0ms (cache hit)
32 http cache tinyexec@https://registry.npmjs.org/tinyexec/-/tinyexec-1.0.4.tgz 0ms (cache hit)
33 http cache tinyglobby@https://registry.npmjs.org/tinyglobby/-/tinyglobby-0.2.15.tgz 0ms (cache hit)
34 http cache strip-ansi@https://registry.npmjs.org/strip-ansi/-/strip-ansi-6.0.1.tgz 0ms (cache hit)
35 http cache string-width@https://registry.npmjs.org/string-width/-/string-width-4.2.3.tgz 0ms (cache hit)
36 http cache superjson@https://registry.npmjs.org/superjson/-/superjson-2.2.6.tgz 0ms (cache hit)
37 http cache speakingurl@https://registry.npmjs.org/speakingurl/-/speakingurl-14.0.1.tgz 0ms (cache hit)
38 http cache tinybench@https://registry.npmjs.org/tinybench/-/tinybench-2.9.0.tgz 0ms (cache hit)
39 http cache std-env@https://registry.npmjs.org/std-env/-/std-env-4.0.0.tgz 0ms (cache hit)
40 http cache source-map-js@https://registry.npmjs.org/source-map-js/-/source-map-js-1.2.1.tgz 0ms (cache hit)
41 http cache set-blocking@https://registry.npmjs.org/set-blocking/-/set-blocking-2.0.0.tgz 0ms (cache hit)
42 http cache stackback@https://registry.npmjs.org/stackback/-/stackback-0.0.2.tgz 0ms (cache hit)
43 http cache rolldown@https://registry.npmjs.org/rolldown/-/rolldown-1.0.0-rc.9.tgz 0ms (cache hit)
